Detail,Company Name,Vehicle,Datum,Causes,Heritage Category,Cost (M USD),Spaceport,Phase,EL_fuzzy,EL_markov,R_final,LDF,R_learned,Tier_R_final,Tier_R_learned
GSLV Mk I | GSAT-1,ISRO,GSLV Mk I,4/18/2001,Propulsion,New,47,Satish Dhawan Space Centre,Upper Stage Burn,31.89,28.3,30.1,1,30.1,High,High
"Minotaur C (Taurus) 2110 | OrbView-4, QuikTOMS & Others",Northrop,Minotaur C (Taurus) 2110,9/22/2001,GNC,Medium,45,Vandenberg Space Force Base,Liftoff Ascent,18.68,17.72,18.2,1,18.2,Medium,Medium
Soyuz-U | Foton-M nÂ°1,VKS RF,Soyuz-U,10/16/2002,Propulsion,High,20,Plesetsk Cosmodrome,Liftoff Ascent,5.68,4.54,5.11,1,5.11,Low,Low
"Ariane 5 ECA | Hot Bird 7, Stentor & MFD-A/B",Arianespace,Ariane 5 ECA,12/12/2002,Propulsion,New,200,Guiana Space Centre,Liftoff Ascent,45.05,59.74,52.39,1,52.39,High,High
Delta IV Heavy | DemoSat & 3CS-1 & 2,Boeing,Delta IV Heavy,12/22/2004,Propulsion,New,350,Cape Canaveral / Kennedy Space Center,Liftoff Ascent,129.19,129.73,129.46,1,129.46,Critical,Critical
Rokot/Briz-KM | CryoSat-1,Eurockot,Rokot/Briz-KM,10/8/2005,GNC,Medium,13,Plesetsk Cosmodrome,Upper Stage Burn,11.26,10.42,10.84,1,10.84,Medium,Medium
Proton-M/Briz-M | Arabsat-4A,ILS,Proton-M/Briz-M,3/1/2006,Propulsion,Medium,65,Baikonur Cosmodrome,Upper Stage Burn,48.27,47.72,48,1,48,High,High
Falcon 1 | FalconSat-2,SpaceX,Falcon 1,3/25/2006,Propulsion,New,7,Omelek Island,Liftoff Ascent,2.18,2.39,2.29,1,2.29,Low,Low
GSLV Mk I | INSAT-4C,ISRO,GSLV Mk I,7/10/2006,Propulsion,Medium,47,Satish Dhawan Space Centre,Liftoff Ascent,8.37,12.93,10.65,1.1111,11.83,Medium,Medium
Dnepr | BelKa 1 & Others,Kosmotras,Dnepr,7/26/2006,Propulsion,Medium,29,Baikonur Cosmodrome,Liftoff Ascent,15.99,10.53,13.26,1,13.26,Medium,Medium
